syn1	syn2	Freq
n:act	n:act	99
n:act	n:animal	1
n:act	n:artifact	43
n:act	n:attribute	39
n:act	n:body	1
n:act	n:cognition	53
n:act	n:communication	23
n:act	n:event	12
n:act	n:food	1
n:act	n:group	41
n:act	n:location	7
n:act	n:phenomenon	3
n:act	n:possession	10
n:act	n:process	6
n:act	n:quantity	3
n:act	n:relation	9
n:act	n:state	25
n:act	n:substance	1
n:act	n:time	1
n:act	v:body	2
n:act	v:change	5
n:act	v:cognition	16
n:act	v:communication	3
n:act	v:competition	15
n:act	v:consumption	38
n:act	v:contact	24
n:act	v:creation	7
n:act	v:emotion	1
n:act	v:motion	29
n:act	v:perception	15
n:act	v:possession	3
n:act	v:social	50
n:act	v:stative	4
n:animal	n:act	1
n:animal	n:animal	1
n:animal	n:body	2
n:animal	n:food	1
n:animal	n:person	4
n:animal	n:substance	1
n:animal	v:cognition	1
n:animal	v:competition	1
n:animal	v:motion	3
n:artifact	n:act	41
n:artifact	n:artifact	63
n:artifact	n:attribute	10
n:artifact	n:body	9
n:artifact	n:cognition	23
n:artifact	n:communication	14
n:artifact	n:event	2
n:artifact	n:group	22
n:artifact	n:location	23
n:artifact	n:object	8
n:artifact	n:person	6
n:artifact	n:phenomenon	2
n:artifact	n:process	1
n:artifact	n:quantity	8
n:artifact	n:relation	6
n:artifact	n:shape	1
n:artifact	n:state	3
n:artifact	n:substance	8
n:artifact	n:time	2
n:artifact	v:body	1
n:artifact	v:change	2
n:artifact	v:cognition	3
n:artifact	v:communication	6
n:artifact	v:consumption	1
n:artifact	v:contact	15
n:artifact	v:creation	10
n:artifact	v:motion	8
n:artifact	v:possession	3
n:artifact	v:social	7
n:artifact	v:stative	5
n:artifact	v:weather	1
n:attribute	n:act	34
n:attribute	n:artifact	7
n:attribute	n:attribute	36
n:attribute	n:body	7
n:attribute	n:cognition	39
n:attribute	n:communication	15
n:attribute	n:event	5
n:attribute	n:feeling	2
n:attribute	n:group	6
n:attribute	n:location	7
n:attribute	n:motive	1
n:attribute	n:person	9
n:attribute	n:phenomenon	8
n:attribute	n:possession	9
n:attribute	n:quantity	17
n:attribute	n:relation	1
n:attribute	n:shape	1
n:attribute	n:state	25
n:attribute	n:substance	1
n:attribute	n:time	3
n:attribute	v:body	1
n:attribute	v:change	4
n:attribute	v:cognition	1
n:attribute	v:communication	6
n:attribute	v:competition	1
n:attribute	v:consumption	11
n:attribute	v:contact	1
n:attribute	v:creation	1
n:attribute	v:emotion	2
n:attribute	v:motion	4
n:attribute	v:perception	16
n:attribute	v:possession	2
n:attribute	v:social	8
n:attribute	v:stative	13
n:body	n:animal	1
n:body	n:artifact	7
n:body	n:attribute	4
n:body	n:body	10
n:body	n:cognition	15
n:body	n:communication	3
n:body	n:location	5
n:body	n:object	2
n:body	n:person	4
n:body	n:process	1
n:body	n:quantity	5
n:body	n:relation	1
n:body	n:shape	1
n:body	n:substance	1
n:body	v:cognition	1
n:body	v:communication	1
n:body	v:competition	3
n:body	v:motion	7
n:body	v:perception	2
n:body	v:possession	4
n:body	v:stative	5
n:cognition	n:act	44
n:cognition	n:artifact	23
n:cognition	n:attribute	38
n:cognition	n:body	7
n:cognition	n:cognition	130
n:cognition	n:communication	57
n:cognition	n:event	11
n:cognition	n:feeling	6
n:cognition	n:group	26
n:cognition	n:location	12
n:cognition	n:object	5
n:cognition	n:person	7
n:cognition	n:phenomenon	3
n:cognition	n:possession	3
n:cognition	n:process	1
n:cognition	n:relation	14
n:cognition	n:shape	1
n:cognition	n:state	41
n:cognition	n:substance	2
n:cognition	n:time	8
n:cognition	v:cognition	26
n:cognition	v:communication	17
n:cognition	v:competition	5
n:cognition	v:consumption	1
n:cognition	v:contact	1
n:cognition	v:creation	7
n:cognition	v:emotion	4
n:cognition	v:perception	11
n:cognition	v:possession	3
n:cognition	v:social	11
n:cognition	v:stative	22
n:communication	n:act	29
n:communication	n:artifact	14
n:communication	n:attribute	18
n:communication	n:body	2
n:communication	n:cognition	62
n:communication	n:communication	92
n:communication	n:event	5
n:communication	n:feeling	1
n:communication	n:group	17
n:communication	n:location	4
n:communication	n:motive	4
n:communication	n:person	5
n:communication	n:phenomenon	4
n:communication	n:possession	2
n:communication	n:process	2
n:communication	n:quantity	1
n:communication	n:relation	1
n:communication	n:state	12
n:communication	n:substance	3
n:communication	n:time	11
n:communication	v:body	3
n:communication	v:cognition	6
n:communication	v:communication	71
n:communication	v:competition	1
n:communication	v:contact	3
n:communication	v:creation	6
n:communication	v:motion	1
n:communication	v:perception	5
n:communication	v:possession	4
n:communication	v:social	10
n:communication	v:stative	3
n:event	n:act	20
n:event	n:artifact	1
n:event	n:attribute	6
n:event	n:cognition	19
n:event	n:communication	6
n:event	n:event	11
n:event	n:feeling	1
n:event	n:group	2
n:event	n:person	3
n:event	n:phenomenon	9
n:event	n:process	2
n:event	n:quantity	1
n:event	n:relation	4
n:event	n:state	19
n:event	n:time	65
n:event	v:change	18
n:event	v:cognition	1
n:event	v:communication	4
n:event	v:competition	1
n:event	v:contact	1
n:event	v:motion	8
n:event	v:perception	3
n:event	v:possession	1
n:event	v:social	1
n:event	v:stative	3
n:feeling	n:attribute	2
n:feeling	n:cognition	5
n:feeling	n:communication	1
n:feeling	n:feeling	3
n:feeling	n:location	1
n:feeling	n:person	1
n:feeling	n:state	1
n:feeling	v:cognition	2
n:feeling	v:contact	1
n:feeling	v:emotion	18
n:feeling	v:stative	3
n:food	n:act	1
n:food	n:artifact	1
n:food	n:group	1
n:food	n:person	1
n:food	n:plant	1
n:food	n:substance	1
n:food	v:consumption	18
n:group	n:act	38
n:group	n:artifact	21
n:group	n:attribute	7
n:group	n:body	1
n:group	n:cognition	23
n:group	n:communication	14
n:group	n:event	2
n:group	n:food	1
n:group	n:group	69
n:group	n:location	29
n:group	n:object	13
n:group	n:person	8
n:group	n:possession	1
n:group	n:quantity	1
n:group	n:relation	1
n:group	n:shape	1
n:group	n:state	7
n:group	n:substance	1
n:group	n:time	3
n:group	v:change	1
n:group	v:cognition	1
n:group	v:communication	3
n:group	v:consumption	1
n:group	v:contact	1
n:group	v:creation	1
n:group	v:motion	1
n:group	v:possession	1
n:group	v:social	1
n:location	n:act	7
n:location	n:animal	1
n:location	n:artifact	30
n:location	n:attribute	6
n:location	n:body	2
n:location	n:cognition	17
n:location	n:communication	5
n:location	n:event	1
n:location	n:feeling	1
n:location	n:group	35
n:location	n:location	64
n:location	n:object	4
n:location	n:possession	1
n:location	n:quantity	3
n:location	n:relation	2
n:location	n:shape	2
n:location	n:state	8
n:location	n:substance	1
n:location	n:time	2
n:location	v:cognition	1
n:location	v:communication	9
n:location	v:contact	9
n:location	v:motion	5
n:location	v:social	3
n:location	v:stative	4
n:motive	n:attribute	1
n:motive	n:cognition	1
n:motive	n:communication	5
n:motive	n:event	1
n:motive	n:feeling	1
n:motive	n:state	1
n:motive	n:time	1
n:motive	v:cognition	1
n:object	n:act	2
n:object	n:artifact	11
n:object	n:attribute	1
n:object	n:body	1
n:object	n:cognition	6
n:object	n:group	9
n:object	n:location	2
n:object	n:object	1
n:object	n:person	1
n:object	n:phenomenon	3
n:object	n:possession	2
n:object	n:process	2
n:object	n:state	6
n:object	n:substance	17
n:object	v:change	2
n:object	v:cognition	1
n:object	v:consumption	6
n:object	v:motion	4
n:object	v:stative	5
n:person	n:act	5
n:person	n:animal	4
n:person	n:artifact	3
n:person	n:attribute	7
n:person	n:body	5
n:person	n:cognition	5
n:person	n:communication	4
n:person	n:event	2
n:person	n:food	1
n:person	n:group	9
n:person	n:person	158
n:person	n:quantity	1
n:person	n:state	1
n:person	v:change	1
n:person	v:cognition	1
n:person	v:communication	2
n:person	v:competition	1
n:person	v:consumption	1
n:person	v:contact	1
n:person	v:possession	1
n:person	v:social	5
n:phenomenon	n:act	2
n:phenomenon	n:artifact	3
n:phenomenon	n:attribute	6
n:phenomenon	n:cognition	3
n:phenomenon	n:communication	3
n:phenomenon	n:event	7
n:phenomenon	n:location	1
n:phenomenon	n:object	3
n:phenomenon	n:relation	5
n:phenomenon	n:state	5
n:phenomenon	n:time	3
n:phenomenon	v:change	2
n:phenomenon	v:contact	1
n:phenomenon	v:creation	4
n:phenomenon	v:motion	1
n:phenomenon	v:possession	1
n:phenomenon	v:stative	8
n:phenomenon	v:weather	3
n:plant	n:communication	1
n:plant	n:food	1
n:plant	n:plant	3
n:plant	v:change	2
n:possession	n:act	14
n:possession	n:artifact	2
n:possession	n:attribute	13
n:possession	n:cognition	2
n:possession	n:communication	2
n:possession	n:group	2
n:possession	n:location	3
n:possession	n:object	1
n:possession	n:possession	14
n:possession	n:quantity	1
n:possession	n:relation	2
n:possession	v:cognition	1
n:possession	v:possession	8
n:possession	v:social	1
n:possession	v:stative	6
n:process	n:act	10
n:process	n:attribute	1
n:process	n:communication	1
n:process	n:event	2
n:process	n:object	2
n:process	n:process	4
n:process	n:state	2
n:process	v:body	1
n:process	v:change	2
n:process	v:stative	1
n:quantity	n:act	3
n:quantity	n:artifact	9
n:quantity	n:attribute	8
n:quantity	n:body	3
n:quantity	n:communication	3
n:quantity	n:event	1
n:quantity	n:group	3
n:quantity	n:location	2
n:quantity	n:possession	1
n:quantity	n:quantity	7
n:quantity	n:relation	1
n:quantity	n:state	1
n:quantity	n:substance	2
n:quantity	v:change	3
n:quantity	v:competition	3
n:quantity	v:motion	3
n:quantity	v:possession	2
n:quantity	v:social	1
n:relation	n:act	8
n:relation	n:artifact	3
n:relation	n:cognition	13
n:relation	n:communication	2
n:relation	n:event	4
n:relation	n:object	3
n:relation	n:person	1
n:relation	n:phenomenon	1
n:relation	n:possession	2
n:relation	n:state	2
n:relation	n:time	1
n:relation	v:change	5
n:relation	v:cognition	4
n:relation	v:contact	5
n:shape	n:act	1
n:shape	n:artifact	2
n:shape	n:communication	1
n:shape	n:group	1
n:shape	v:motion	1
n:state	n:act	22
n:state	n:artifact	3
n:state	n:attribute	26
n:state	n:body	1
n:state	n:cognition	32
n:state	n:communication	17
n:state	n:event	22
n:state	n:feeling	2
n:state	n:group	10
n:state	n:location	7
n:state	n:object	4
n:state	n:person	2
n:state	n:phenomenon	4
n:state	n:process	1
n:state	n:relation	1
n:state	n:state	23
n:state	n:substance	6
n:state	n:time	12
n:state	v:body	1
n:state	v:change	1
n:state	v:cognition	1
n:state	v:communication	6
n:state	v:consumption	4
n:state	v:contact	2
n:state	v:creation	2
n:state	v:emotion	1
n:state	v:motion	3
n:state	v:perception	1
n:state	v:social	3
n:state	v:stative	1
n:substance	n:act	3
n:substance	n:animal	1
n:substance	n:artifact	4
n:substance	n:cognition	1
n:substance	n:communication	2
n:substance	n:food	1
n:substance	n:location	1
n:substance	n:object	13
n:substance	n:phenomenon	1
n:substance	n:quantity	2
n:substance	n:state	8
n:substance	n:substance	5
n:substance	v:change	2
n:substance	v:consumption	1
n:substance	v:contact	1
n:substance	v:motion	1
n:substance	v:perception	2
n:time	n:act	2
n:time	n:artifact	1
n:time	n:attribute	1
n:time	n:cognition	12
n:time	n:communication	10
n:time	n:event	64
n:time	n:group	2
n:time	n:location	4
n:time	n:object	1
n:time	n:person	1
n:time	n:phenomenon	1
n:time	n:process	1
n:time	n:relation	1
n:time	n:state	13
n:time	n:time	214
n:time	v:cognition	2
n:time	v:communication	4
n:time	v:motion	1
n:time	v:perception	2
n:time	v:possession	1
n:time	v:social	1
n:time	v:stative	4
n:time	v:weather	1
v:body	n:act	4
v:body	n:artifact	4
v:body	n:attribute	3
v:body	n:cognition	1
v:body	n:communication	5
v:body	n:event	1
v:body	n:process	1
v:body	n:relation	1
v:body	n:state	5
v:body	v:body	11
v:body	v:change	4
v:body	v:cognition	3
v:body	v:communication	1
v:body	v:contact	2
v:body	v:creation	2
v:body	v:emotion	2
v:body	v:motion	6
v:body	v:perception	7
v:body	v:possession	7
v:body	v:social	1
v:body	v:stative	3
v:change	n:act	8
v:change	n:artifact	2
v:change	n:attribute	6
v:change	n:body	1
v:change	n:cognition	2
v:change	n:event	20
v:change	n:group	1
v:change	n:location	1
v:change	n:object	2
v:change	n:phenomenon	4
v:change	n:plant	3
v:change	n:process	1
v:change	n:quantity	2
v:change	n:relation	3
v:change	n:shape	2
v:change	n:state	3
v:change	n:substance	3
v:change	n:time	4
v:change	v:body	5
v:change	v:change	110
v:change	v:cognition	18
v:change	v:communication	9
v:change	v:competition	5
v:change	v:contact	10
v:change	v:creation	44
v:change	v:emotion	1
v:change	v:motion	75
v:change	v:perception	14
v:change	v:possession	57
v:change	v:social	58
v:change	v:stative	78
v:change	v:weather	2
v:cognition	n:act	22
v:cognition	n:artifact	1
v:cognition	n:attribute	1
v:cognition	n:body	1
v:cognition	n:cognition	26
v:cognition	n:communication	10
v:cognition	n:event	1
v:cognition	n:feeling	1
v:cognition	n:group	1
v:cognition	n:motive	1
v:cognition	n:object	1
v:cognition	n:possession	2
v:cognition	n:quantity	3
v:cognition	n:shape	1
v:cognition	n:state	1
v:cognition	n:substance	1
v:cognition	v:body	4
v:cognition	v:change	14
v:cognition	v:cognition	416
v:cognition	v:communication	62
v:cognition	v:competition	2
v:cognition	v:consumption	2
v:cognition	v:contact	5
v:cognition	v:creation	23
v:cognition	v:emotion	22
v:cognition	v:motion	17
v:cognition	v:perception	70
v:cognition	v:possession	26
v:cognition	v:social	23
v:cognition	v:stative	23
v:communication	n:act	6
v:communication	n:artifact	5
v:communication	n:attribute	4
v:communication	n:body	2
v:communication	n:cognition	11
v:communication	n:communication	93
v:communication	n:event	4
v:communication	n:group	3
v:communication	n:location	6
v:communication	n:person	1
v:communication	n:quantity	1
v:communication	n:state	2
v:communication	n:time	2
v:communication	v:change	18
v:communication	v:cognition	47
v:communication	v:communication	452
v:communication	v:competition	5
v:communication	v:consumption	2
v:communication	v:contact	13
v:communication	v:creation	25
v:communication	v:motion	10
v:communication	v:perception	33
v:communication	v:possession	39
v:communication	v:social	20
v:communication	v:stative	30
v:competition	n:act	17
v:competition	n:attribute	1
v:competition	n:cognition	5
v:competition	n:communication	2
v:competition	n:event	1
v:competition	n:group	2
v:competition	n:quantity	1
v:competition	n:state	2
v:competition	v:change	5
v:competition	v:cognition	1
v:competition	v:communication	2
v:competition	v:competition	3
v:competition	v:consumption	2
v:competition	v:emotion	1
v:competition	v:motion	2
v:competition	v:perception	1
v:competition	v:possession	4
v:competition	v:social	7
v:competition	v:stative	3
v:consumption	n:act	34
v:consumption	n:attribute	7
v:consumption	n:cognition	1
v:consumption	n:feeling	1
v:consumption	n:food	19
v:consumption	n:object	2
v:consumption	n:person	1
v:consumption	n:phenomenon	2
v:consumption	n:state	3
v:consumption	v:change	2
v:consumption	v:communication	2
v:consumption	v:consumption	10
v:consumption	v:contact	2
v:consumption	v:creation	1
v:consumption	v:emotion	8
v:consumption	v:motion	4
v:consumption	v:perception	4
v:consumption	v:possession	18
v:consumption	v:social	4
v:consumption	v:stative	9
v:contact	n:act	23
v:contact	n:artifact	12
v:contact	n:attribute	2
v:contact	n:body	1
v:contact	n:cognition	4
v:contact	n:communication	3
v:contact	n:event	4
v:contact	n:group	5
v:contact	n:location	7
v:contact	n:object	2
v:contact	n:person	1
v:contact	n:phenomenon	2
v:contact	n:relation	1
v:contact	n:substance	5
v:contact	v:body	3
v:contact	v:change	11
v:contact	v:cognition	8
v:contact	v:communication	8
v:contact	v:competition	1
v:contact	v:contact	43
v:contact	v:creation	4
v:contact	v:emotion	2
v:contact	v:motion	39
v:contact	v:perception	5
v:contact	v:possession	12
v:contact	v:social	8
v:contact	v:stative	19
v:creation	n:act	6
v:creation	n:artifact	8
v:creation	n:attribute	4
v:creation	n:cognition	6
v:creation	n:communication	4
v:creation	n:event	1
v:creation	n:food	1
v:creation	n:person	1
v:creation	n:phenomenon	1
v:creation	n:state	1
v:creation	v:body	3
v:creation	v:change	47
v:creation	v:cognition	19
v:creation	v:communication	25
v:creation	v:contact	9
v:creation	v:creation	79
v:creation	v:emotion	1
v:creation	v:motion	2
v:creation	v:perception	19
v:creation	v:possession	32
v:creation	v:social	78
v:creation	v:stative	7
v:emotion	n:act	2
v:emotion	n:cognition	6
v:emotion	n:event	1
v:emotion	n:feeling	21
v:emotion	n:state	2
v:emotion	v:body	4
v:emotion	v:change	1
v:emotion	v:cognition	12
v:emotion	v:communication	1
v:emotion	v:consumption	6
v:emotion	v:contact	8
v:emotion	v:creation	2
v:emotion	v:emotion	28
v:emotion	v:perception	13
v:emotion	v:social	2
v:emotion	v:stative	1
v:motion	n:act	43
v:motion	n:animal	2
v:motion	n:artifact	5
v:motion	n:attribute	3
v:motion	n:body	9
v:motion	n:cognition	1
v:motion	n:communication	1
v:motion	n:event	12
v:motion	n:group	1
v:motion	n:location	2
v:motion	n:object	4
v:motion	n:phenomenon	2
v:motion	n:relation	1
v:motion	n:shape	5
v:motion	n:state	2
v:motion	n:substance	1
v:motion	v:body	5
v:motion	v:change	78
v:motion	v:cognition	12
v:motion	v:communication	7
v:motion	v:competition	5
v:motion	v:consumption	4
v:motion	v:contact	39
v:motion	v:creation	4
