syn1	syn2
00001740-a	00306663-a
00002621-r	00003093-r
00002621-r	00004722-r
00002621-r	00158309-r
00004722-r	00002621-r
00004722-r	00004967-r
00004722-r	00008600-r
00004722-r	00010759-r
00004722-r	00010914-r
00004722-r	00028319-r
00004722-r	00033308-r
00004722-r	00158309-r
00004722-r	00246296-r
00004722-r	00505114-r
00004967-r	00004722-r
00004967-r	00246296-r
00005055-r	00246296-r
00007012-v	00034948-v
00007015-r	00071840-r
00007015-r	02267308-a
00007846-n	00493460-a
00007846-n	00729246-a
00007846-n	10203839-n
00007846-n	10627082-n
00007703-r	00787465-n
00007703-r	07030718-n
00007703-r	09385911-n
00007703-r	13809207-n
00007884-r	13736799-n
00008600-r	00004722-r
00008600-r	00010759-r
00008600-r	00028319-r
00008600-r	00157967-r
00008600-r	00505114-r
00008600-r	02249766-a
00010435-v	06892016-n
00010466-r	00178909-r
00010466-r	01083157-a
00010759-r	00004722-r
00010759-r	00008600-r
00010914-r	00004722-r
00011093-r	00012531-r
00011093-r	00012779-r
00011093-r	00013092-r
00011093-r	00057388-r
00011093-r	01123148-a
00011093-r	01983162-a
00011093-r	01991204-v
00012267-v	00276068-v
00012267-v	00770437-v
00012267-v	02560585-v
00012267-v	02674708-v
00012531-r	00011093-r
00012531-r	00012779-r
00012531-r	00015135-r
00012531-r	02540578-a
00013160-a	14820180-n
00012779-r	00011093-r
00012779-r	00012531-r
00012779-r	00014285-r
00012779-r	00015135-r
00012779-r	04572344-n
00013328-v	14009763-n
00013429-r	01048762-a
00013429-r	04572344-n
00014034-v	01889610-v
00014034-v	01891638-v
00014405-v	13810818-n
00014549-v	01835496-v
00014742-v	14024882-n
00014285-r	00011093-r
00015135-r	00012531-r
00015135-r	00014285-r
00017222-n	01567275-v
00017222-n	03956922-n
00017445-r	00017639-r
00017445-r	00018043-r
00017445-r	00891170-a
00017639-r	00017445-r
00017639-r	00027384-r
00017639-r	00031304-r
00017639-r	00467269-r
00018158-v	00018405-v
00018405-v	01983264-v
00018043-r	00017445-r
00018302-r	00098714-r
00018577-r	00018781-r
00018577-r	00018918-r
00018781-r	00018577-r
00018918-r	00018577-r
00018918-r	00018781-r
00019339-r	00146387-r
00020103-a	00442917-a
00020827-n	05814291-n
00022219-a	00309945-a
00023120-a	02460502-a
00023773-n	01188725-v
00023773-n	02627934-v
00023773-n	09367991-n
00023773-n	14449126-n
00024720-n	01009240-v
00024720-n	08168978-n
00026192-n	05916739-n
00027268-v	00240810-v
00027167-n	00155487-n
00027384-r	00017639-r
00027384-r	00028424-r
00027384-r	00028578-r
00027384-r	00031304-r
00027384-r	01919428-a
00027384-r	04319248-n
00027807-n	05064037-n
00027807-n	05930736-n
00027807-n	14546227-n
00027795-r	00027918-r
00027918-r	00017639-r
00027918-r	00027795-r
00028270-n	07309599-n
00028270-n	15135822-n
00028270-n	15270431-n
00028319-r	00004722-r
00028424-r	00027384-r
00028651-n	08652970-n
00028651-n	13910384-n
00028578-r	00027384-r
00028797-r	00027384-r
00028797-r	00028578-r
00029639-r	00029985-r
00029985-r	00030443-r
00030647-v	07361128-n
00030358-n	01719302-v
00030358-n	02367363-v
00030358-n	06532095-n
00030443-r	00029985-r
00030443-r	00443988-a
00031264-n	00656576-v
00031304-r	00017639-r
00031304-r	00027384-r
00031304-r	00302951-a
00031304-r	00467269-r
00031304-r	01564315-a
00031304-r	01565751-a
00031304-r	01919428-a
00031304-r	04319248-n
00031820-v	07127006-n
00031899-r	00510749-r
00031899-r	01839317-a
00031899-r	02068946-a
00032299-r	00633410-a
00032299-r	02031986-a
00033020-n	06252138-n
00033599-v	02130524-v
00033599-v	02133435-v
00033599-v	04674715-n
00033599-v	04679738-n
00033308-r	00002621-r
00033308-r	00004722-r
00033308-r	00158309-r
00033308-r	00246296-r
00033615-n	05107765-n
00033615-n	07260623-n
00034479-n	04424218-n
00034479-n	04424418-n
00034479-n	04617289-n
00034479-n	05855004-n
00034479-n	06723908-n
00034479-n	13943968-n
00035758-v	01532589-v
00035718-r	00036291-r
00035718-r	01128871-a
00037226-r	00149510-r
00038365-v	03074855-n
00037396-n	00952963-n
00038849-v	01645601-v
00038849-v	01712704-v
00038262-n	08377085-n
00039058-r	00181901-r
00043003-r	00121135-r
00043195-n	05808218-n
00043765-a	01933731-a
00044353-a	01821266-a
00044353-a	01884176-a
