syn1	syn2
00001740-v	v:body
00010435-v	v:body
00014549-v	v:body
00015713-v	v:body
00016702-v	v:body
00017282-v	v:body
00017865-v	v:body
00018158-v	v:body
00020133-v	v:body
00020449-v	v:body
00037396-n	n:act
00041899-n	n:act
00042311-n	n:act
00042541-n	n:act
00042757-n	n:act
00043195-n	n:act
00043609-n	n:act
00044150-n	n:act
00044455-n	n:act
00044673-n	n:act
00044900-n	n:act
00045114-n	n:act
00045250-n	n:act
00045907-n	n:act
00046177-n	n:act
00046522-n	n:act
00052374-v	v:body
00057410-v	v:body
00059559-v	v:body
00066216-n	n:act
00070363-n	n:act
00070641-n	n:act
00077369-v	v:body
00077458-v	v:body
00078760-v	v:body
00083260-n	n:act
00099721-v	v:body
00104868-v	v:body
00107943-v	v:body
00109660-v	v:change
00118764-v	v:change
00123170-v	v:change
00126264-v	v:change
00173338-v	v:change
00203342-n	n:act
00205891-n	n:act
00224295-v	v:change
02422663-v	v:change
00233335-v	v:change
00258109-v	v:change
00306298-v	v:change
00339934-v	v:change
00345761-v	v:change
00348746-v	v:change
00360092-v	v:change
00392335-n	n:act
00407535-n	n:act
00413876-v	v:change
00415044-v	v:change
00415743-v	v:change
00422090-v	v:change
00425071-v	v:change
00426958-v	v:change
00528990-v	v:change
00549771-v	v:change
00550117-v	v:change
00554298-v	v:change
00560247-v	v:change
00571061-v	v:change
00585406-n	n:act
00588888-v	v:cognition
00591115-v	v:cognition
00591755-v	v:cognition
00592037-v	v:cognition
00594058-v	v:cognition
00594337-v	v:cognition
00594621-v	v:cognition
00595505-v	v:cognition
00595630-v	v:cognition
00595935-v	v:cognition
00596132-v	v:cognition
00597915-v	v:cognition
00598954-v	v:cognition
00599992-v	v:cognition
00601378-v	v:cognition
00601581-v	v:cognition
00607405-v	v:cognition
00607780-v	v:cognition
00608808-v	v:cognition
00609100-v	v:cognition
00609683-v	v:cognition
00610167-v	v:cognition
00610538-v	v:cognition
00611256-v	v:cognition
00611481-v	v:cognition
00613393-v	v:cognition
00613683-v	v:cognition
00614999-v	v:cognition
00616153-v	v:cognition
00616857-v	v:cognition
00617748-v	v:cognition
00628491-v	v:cognition
00636888-v	v:cognition
00639849-v	v:cognition
00643473-v	v:cognition
00644583-v	v:cognition
00652346-v	v:cognition
00665886-v	v:cognition
00679389-v	v:cognition
00685419-v	v:cognition
00697589-v	v:cognition
00699815-v	v:cognition
00708538-v	v:cognition
00720063-v	v:cognition
00732552-v	v:cognition
00736216-v	v:cognition
00770437-v	v:communication
00779601-v	v:communication
00799383-v	v:communication
00801626-v	v:communication
00804802-v	v:communication
00805376-v	v:communication
00809074-n	n:act
00811375-v	v:communication
00818974-v	v:communication
00830257-n	n:act
00843468-v	v:communication
00859325-v	v:communication
00874067-n	n:act
00890590-v	v:communication
00892923-v	v:communication
00905059-v	v:communication
00907147-v	v:communication
00912960-n	n:act
00918872-v	v:communication
00920336-v	v:communication
00931852-v	v:communication
00935141-v	v:communication
00935987-v	v:communication
00937619-v	v:communication
00940384-v	v:communication
00950337-v	v:communication
00950431-v	v:communication
00973728-v	v:communication
00978549-v	v:communication
00983824-v	v:communication
00989201-v	v:communication
00989490-v	v:communication
01006810-v	v:communication
01009821-v	v:communication
01011725-v	v:communication
01020731-v	v:communication
01029368-v	v:communication
01030132-v	v:communication
01035530-v	v:communication
01041061-v	v:communication
01053617-n	n:act
01053920-n	n:act
01062583-n	n:act
01066433-v	v:communication
01068380-v	v:communication
01070777-v	v:communication
01072262-v	v:competition
01073995-n	n:act
01076046-n	n:act
01076615-v	v:competition
01079480-v	v:competition
01080366-n	n:act
01082606-v	v:competition
01083077-n	n:act
01083044-v	v:competition
01087197-v	v:competition
01087835-v	v:competition
01090335-v	v:competition
01093786-v	v:competition
01099592-v	v:competition
01100145-v	v:competition
01102436-n	n:act
01108148-v	v:competition
01111028-v	v:competition
01113620-v	v:competition
01113975-v	v:competition
01116447-v	v:competition
01118081-v	v:competition
01120069-v	v:competition
01133825-v	v:competition
01134238-v	v:competition
01135371-v	v:competition
01154175-v	v:competition
01155090-v	v:competition
01156834-v	v:consumption
01158572-v	v:consumption
01158872-v	v:consumption
01188342-v	v:consumption
01189113-v	v:consumption
01190948-v	v:consumption
01192992-v	v:consumption
01195584-n	n:act
01196037-v	v:consumption
01197750-v	v:consumption
01200934-v	v:consumption
01201856-v	v:consumption
01205331-v	v:consumption
01205696-v	v:contact
01206218-v	v:contact
01207149-v	v:contact
01209678-v	v:contact
01212230-v	v:contact
01213146-v	v:contact
01214265-v	v:contact
01216670-v	v:contact
01217043-v	v:contact
01228524-v	v:contact
01230710-v	v:contact
01237901-v	v:contact
01252124-n	n:act
01266491-n	n:act
01307896-v	v:contact
01313888-n	n:animal
01314026-n	n:animal
01314145-n	n:animal
01314388-n	n:animal
01314663-n	n:animal
01314781-n	n:animal
01314910-n	n:animal
01315062-n	n:animal
01315213-n	n:animal
01315330-n	n:animal
01315581-n	n:animal
01315613-v	v:contact
01315805-n	n:animal
01316288-n	n:animal
01316422-n	n:animal
01316949-n	n:animal
01317541-n	n:animal
01317916-n	n:animal
01318478-n	n:animal
01318660-n	n:animal
01318894-n	n:animal
01319001-n	n:animal
01319187-n	n:animal
01319467-n	n:animal
01319932-n	n:animal
01320093-n	n:animal
01320314-n	n:animal
01320479-n	n:animal
01320692-n	n:animal
01320872-n	n:animal
01321230-n	n:animal
01321456-n	n:animal
01321579-n	n:animal
01323599-n	n:animal
01323781-n	n:animal
01323958-v	v:contact
01324019-n	n:animal
01324142-n	n:animal
01324305-n	n:animal
01324610-n	n:animal
01324799-n	n:animal
01324916-n	n:animal
01325060-n	n:animal
01325536-v	v:contact
01325774-v	v:contact
01326291-n	n:animal
01326897-n	n:animal
01327028-n	n:animal
01327322-n	n:animal
01328012-v	v:contact
01328121-n	n:animal
01328302-n	n:animal
01332730-v	v:contact
01336635-v	v:contact
01339505-v	v:contact
01345109-v	v:contact
01346003-v	v:contact
01354673-v	v:contact
01375295-v	v:contact
01378556-v	v:contact
01380638-v	v:contact
01383638-n	n:animal
01383896-n	n:animal
01384164-n	n:animal
01384313-n	n:animal
01384687-n	n:animal
01385527-n	n:animal
01386182-n	n:animal
01386354-n	n:animal
01397210-v	v:contact
01415626-n	n:animal
01415920-n	n:animal
01416213-n	n:animal
01434140-v	v:contact
01458228-v	v:contact
01458842-n	n:animal
01459664-n	n:animal
01464844-n	n:animal
01466257-n	n:animal
01470225-v	v:contact
01474550-v	v:contact
01475953-v	v:contact
01481819-v	v:contact
01481957-v	v:contact
01482075-v	v:contact
01488847-v	v:contact
01525666-v	v:contact
01526483-v	v:contact
01531124-v	v:contact
01539063-v	v:contact
01542668-v	v:contact
01542842-v	v:contact
01543123-v	v:contact
01547001-v	v:contact
01562733-v	v:contact
01564144-v	v:contact
01570108-v	v:contact
01601234-v	v:contact
01610834-v	v:contact
01611746-v	v:contact
01615991-v	v:contact
01617192-v	v:creation
01619231-v	v:creation
01621555-v	v:creation
01644238-v	v:creation
01652895-v	v:creation
01699896-v	v:creation
01712704-v	v:creation
01716882-v	v:creation
01717169-v	v:creation
01718331-v	v:creation
01720660-v	v:creation
01721556-v	v:creation
01742726-v	v:creation
01744611-v	v:creation
01753788-v	v:creation
01767163-v	v:emotion
01767949-v	v:emotion
01771535-v	v:emotion
01773535-v	v:emotion
01773734-v	v:emotion
01775164-v	v:emotion
01776065-v	v:emotion
01776727-v	v:emotion
01776952-v	v:emotion
01777210-v	v:emotion
01780202-v	v:emotion
01780434-v	v:emotion
01787822-v	v:emotion
01796033-v	v:emotion
01796800-v	v:emotion
01802494-v	v:emotion
01807882-v	v:emotion
01810933-v	v:emotion
01813499-v	v:emotion
01814815-v	v:emotion
01816431-v	v:emotion
01817130-v	v:emotion
01818116-v	v:emotion
01819147-v	v:emotion
01820302-v	v:emotion
01821884-v	v:emotion
01823149-v	v:emotion
01825125-v	v:emotion
01825237-v	v:emotion
01831531-v	v:motion
01834485-v	v:motion
01835103-v	v:motion
01835496-v	v:motion
01843055-v	v:motion
01844048-v	v:motion
01848058-v	v:motion
01848355-v	v:motion
01850315-v	v:motion
01854679-v	v:motion
01855606-v	v:motion
01857717-v	v:motion
01859221-v	v:motion
01860795-v	v:motion
01864230-v	v:motion
01868899-v	v:motion
01880673-v	v:motion
01899017-v	v:motion
01900760-v	v:motion
01905661-n	n:animal
01907149-n	n:animal
01908958-n	n:animal
01944252-v	v:motion
01965156-v	v:motion
01981279-v	v:motion
01983597-v	v:motion
01989562-v	v:motion
01997512-v	v:motion
01999798-v	v:motion
02005948-v	v:motion
02009200-v	v:motion
02009433-v	v:motion
02016523-v	v:motion
02020590-v	v:motion
02023107-v	v:motion
02031158-v	v:motion
02035315-v	v:motion
02052476-v	v:motion
02067689-v	v:motion
02075612-n	n:animal
02078591-v	v:motion
02081578-v	v:motion
02086805-v	v:motion
02087472-v	v:motion
02098964-v	v:motion
02105657-v	v:motion
02105810-v	v:perception
02106506-v	v:perception
02108654-v	v:perception
02108791-v	v:perception
02115778-v	v:perception
02118476-v	v:perception
02118933-v	v:perception
02119241-v	v:perception
02121423-v	v:perception
02123903-v	v:perception
02124632-v	v:perception
02125460-v	v:perception
02127853-v	v:perception
02128066-v	v:perception
02128653-v	v:perception
02130017-v	v:perception
02130524-v	v:perception
02131279-v	v:perception
02131963-v	v:perception
02135048-v	v:perception
02136271-v	v:perception
02137132-v	v:perception
02144835-v	v:perception
02145814-v	v:perception
02146790-v	v:perception
02150510-v	v:perception
02152740-n	n:animal
02152881-n	n:animal
02152991-n	n:animal
02151966-v	v:perception
02157206-n	n:animal
02157285-n	n:animal
02157100-v	v:perception
02158034-v	v:perception
02166761-v	v:perception
02168555-v	v:perception
02179518-v	v:perception
02190077-v	v:perception
02191766-v	v:perception
02193194-v	v:perception
02194286-v	v:perception
02197091-v	v:perception
02197505-v	v:perception
02198602-v	v:perception
02200686-v	v:possession
02201138-v	v:possession
02203362-v	v:possession
02204692-v	v:possession
02205098-v	v:possession
02205272-v	v:possession
02206619-v	v:possession
02209936-v	v:possession
02210855-v	v:possession
02220461-v	v:possession
02224055-v	v:possession
02227741-v	v:possession
02237338-v	v:possession
02247390-v	v:possession
02248465-v	v:possession
02252755-v	v:possession
02254155-v	v:possession
02260362-v	v:possession
02265231-v	v:possession
02265979-v	v:possession
02266920-v	v:possession
02280018-v	v:possession
02287618-v	v:possession
02287789-v	v:possession
02288155-v	v:possession
02288828-v	v:possession
02289134-v	v:possession
02298632-v	v:possession
02311060-n	n:animal
02312744-n	n:animal
02315938-v	v:possession
02316868-v	v:possession
02317094-v	v:possession
02318403-v	v:possession
02350175-v	v:possession
02358034-v	v:possession
02358655-v	v:possession
02358922-v	v:possession
02363742-v	v:possession
